alpha_code,taxonomy,common_name,scientific_name,exposure_model,iucn_status,prop0561,prop0562,prop0563,prop0564,prop0565,prop0566,prop0567,propOR,propCA,propALL,CV,DV
HERG,"Laridae (Gulls, Terns, Skimmers)",Herring Gull,Larus argentatuss,HERG-ICGU,LC,8.317471191770178e-4,6.480229566038659e-4,1.4244016194335987e-4,1.4354762314293507e-4,1.598837843797635e-4,2.9437180007125516e-4,7.299732643819719e-4,0.0010243450644532271,0.0019256416452469425,0.0029499867097001697,0.03688,0.055
ICGU,"Laridae (Gulls, Terns, Skimmers)",Iceland Gull,Larus glaucoides,HERG-ICGU,LC,8.317471191770178e-4,6.480229566038659e-4,1.4244016194335987e-4,1.4354762314293507e-4,1.598837843797635e-4,2.9437180007125516e-4,7.299732643819719e-4,0.0010243450644532271,0.0019256416452469425,0.0029499867097001697,0.04989,0.055
SAGU,"Laridae (Gulls, Terns, Skimmers)",Sabine's Gull,Xema sabini,SAGU,LC,6.769986915033537e-4,7.624962457428266e-4,7.379942363788548e-4,7.639008252770789e-4,6.824445589918765e-4,0.0010714653352847017,0.0014718617026509338,0.0025433270379356353,0.00362383455789399,0.006167161595829626,0.01333,0.155
PALO,Gaviidae (Loons),Pacific Loon,Gavia pacifica,LOON,LC,1.693546157255228e-4,1.7189989340647645e-4,1.9312890339938466e-4,1.9854776979323543e-4,2.204792918361093e-4,1.5232748129680634e-4,3.2427315327308143e-4,4.766006345698878e-4,9.534104741607286e-4,0.0014300111087306162,0.00231,0.532
YBLO,Gaviidae (Loons),Yellow-billed Loon,Gavia adamsii,LOON,NT,1.693546157255228e-4,1.7189989340647645e-4,1.9312890339938466e-4,1.9854776979323543e-4,2.204792918361093e-4,1.5232748129680634e-4,3.2427315327308143e-4,4.766006345698878e-4,9.534104741607286e-4,0.0014300111087306162,0.00203,0.464
POJA,Stercorariidae (Skuas),Pomarine Jaeger,Stercorarius pomarinus,POJA,LC,8.758134620117935e-4,0.0011316046899936976,9.954231107092793e-4,9.494455160960772e-4,9.4175706298764e-4,4.523918246347215e-4,0.0016428375865125827,0.0020952294111473042,0.0048940438417984875,0.006989273252945792,0.01383,0.02
ASSP,Hydrobatidae (Northern Storm-petrels),Ashy Storm-Petrel,Hydrobates homochroa,ASSP,EN,2.649094763580096e-4,3.627246837718901e-4,5.168584216814412e-4,4.965650834078378e-4,4.72239464172493e-4,2.1785239326031528e-4,5.158051210073719e-4,7.336575142676871e-4,0.0021132971293916715,0.0028469546436593585,0.00619,0.369
BOGU,"Laridae (Gulls, Terns, Skimmers)",Bonaparte's Gull,Chroicocephalus philadelphia,BOGU,LC,0.0010226761380813542,7.95171732465143e-4,3.8712446565197225e-4,4.238813366221869e-4,5.143983721286241e-4,3.542499776310071e-4,0.001087528677325881,0.0014417786549568883,0.00314325204494928,0.004585030699906169,0.01333,0.2
BULS,"Procellariidae (Petrels, Shearwaters)",Buller's Shearwater,Ardenna bulleri,BULS,VU,8.428236524648196e-4,0.0010917950638130915,3.2265012999902707e-4,2.837715736031414e-4,3.1881717567661095e-4,8.409211097487758e-4,0.0019262522659161268,0.0027671733756649028,0.0028598575955566907,0.0056270309712215935,4e-5,0.181
SUSC,"Anatidae (Ducks, Geese, & Waterfowl)",Surf Scoter,Melanitta perspicillata,SCOT,LC,2.5006099954569907e-5,2.7576776309784968e-5,4.8832782067021037e-5,4.8328847810046934e-5,4.821523061932558e-5,2.603363785507324e-5,5.3455279032954534e-5,7.948891688802778e-5,1.979597367607484e-4,2.774486536487762e-4,1.9e-4,0.736
WWSC,"Anatidae (Ducks, Geese, & Waterfowl)",White-winged Scoter,Melanitta deglandi,SCOT,LC,2.5006099954569907e-5,2.7576776309784968e-5,4.8832782067021037e-5,4.8328847810046934e-5,4.821523061932558e-5,2.603363785507324e-5,5.3455279032954534e-5,7.948891688802778e-5,1.979597367607484e-4,2.774486536487762e-4,3e-4,0.736
BLSC,"Anatidae (Ducks, Geese, & Waterfowl)",Black Scoter,Melanitta americana,SCOT,NT,2.5006099954569907e-5,2.7576776309784968e-5,4.8832782067021037e-5,4.8328847810046934e-5,4.821523061932558e-5,2.603363785507324e-5,5.3455279032954534e-5,7.948891688802778e-5,1.979597367607484e-4,2.774486536487762e-4,2.7e-4,0.78
PAJA,Stercorariidae (Skuas),Parasitic Jaeger,Stercorarius parasiticus,PAJA-LTJA,LC,2.570507329458421e-4,3.6289673279044993e-4,2.0995224948165678e-4,1.992227552579274e-4,1.8661191382024825e-4,3.105767845525347e-4,0.0010923100145825886,0.0014028867991351232,0.0012157343842961244,0.002618621183431248,0.01379,0.037
LTJA,Stercorariidae (Skuas),Long-tailed Jaeger,Stercorarius longicaudus,PAJA-LTJA,LC,2.570507329458421e-4,3.6289673279044993e-4,2.0995224948165678e-4,1.992227552579274e-4,1.8661191382024825e-4,3.105767845525347e-4,0.0010923100145825886,0.0014028867991351232,0.0012157343842961244,0.002618621183431248,0.01544,0.037
BRPE,Pelecanidae (Pelicans),Brown Pelican,Pelecanus occidentalis,BRPE,LC,7.981882173364969e-5,8.722882750242063e-5,1.470689264098337e-4,1.6224616939655796e-4,2.4771193265987e-4,5.018335599977713e-5,1.3468884447889455e-4,1.8487220047867168e-4,7.24074677702332e-4,9.089468781810037e-4,0.01108,0.553
ARTE,"Laridae (Gulls, Terns, Skimmers)",Arctic Tern,Sterna paradisaea,COTE-ARTE,LC,1.5312660300590688e-4,1.9064156637100318e-4,4.270407080067156e-4,4.684377674966779e-4,3.801473510717604e-4,1.7351243777550385e-4,5.005018398180376e-4,6.740142775935415e-4,0.001619393995952064,0.0022934082735456057,0.00273,0.288
CLGR,Podicipedidae (Grebes),Clark's Grebe,Aechmophorus clarkii,WEGR-CLGR,LC,6.638649574020999e-5,6.631662050161386e-5,6.341884898122692e-5,6.383203924164232e-5,6.466565776571804e-5,4.903498945954781e-5,1.0730434178445159e-4,1.563393312439994e-4,3.246196622304112e-4,4.809589934744106e-4,0.00137,0.342
WEGR,Podicipedidae (Grebes),Western Grebe,Aechmophorus occidentalis,WEGR-CLGR,LC,6.638649574020999e-5,6.631662050161386e-5,6.341884898122692e-5,6.383203924164232e-5,6.466565776571804e-5,4.903498945954781e-5,1.0730434178445159e-4,1.563393312439994e-4,3.246196622304112e-4,4.809589934744106e-4,0.00142,0.342
BVSH,"Procellariidae (Petrels, Shearwaters)",Black-vented Shearwater,Puffinus opisthomelas,BVSH,NT,1.3267031431600127e-4,1.421453455931401e-4,1.5981716162514285e-4,1.705090900146438e-4,1.9986798833618392e-4,1.0598278187694364e-4,2.7183167350370533e-4,3.77814455380649e-4,8.050098998851119e-4,0.0011828243552657609,4e-5,0.228
HEEG,"Laridae (Gulls, Terns, Skimmers)",Heermann's Gull,Larus heermanni,HEEG,NT,1.1039504098108993e-4,1.1355864600890116e-4,8.413278318603173e-5,9.886476302683764e-5,1.356915840274565e-4,7.490392695286284e-5,2.0146509149119782e-4,2.763690184440607e-4,5.42642817230317e-4,8.190118356743777e-4,0.04989,0.144
SPSK,Stercorariidae (Skuas),South Polar Skua,Stercorarius maccormicki,SPSK,LC,0.0014325038703639989,0.0015737793421734267,3.6742346432480324e-4,3.539015538508152e-4,3.5787385492577675e-4,7.288171081101616e-4,0.0030611871187588733,0.0037900042268690353,0.00408548208563882,0.007875486312507856,0.0124,0.038
BLSP,Hydrobatidae (Northern Storm-petrels),Black Storm-Petrel,Hydrobates melania,BLSP,LC,1.481270464275461e-4,1.7564681359699477e-4,2.6364668524355225e-4,3.148015046747121e-4,4.892588376627634e-4,1.2534188445430052e-4,3.172411939951706e-4,4.4258307844947107e-4,0.0013914808876055685,0.0018340639660550397,0.00591,0.279
ELTE,"Laridae (Gulls, Terns, Skimmers)",Elegant Tern,Thalasseus elegans,ROYT-ELTE,NT,1.567159952709186e-4,1.6905134678326465e-4,1.998485877402155e-4,2.1194531135888491e-4,2.461089308144354e-4,1.4034333336239942e-4,3.1492425497815004e-4,4.5526758834054943e-4,9.83670171967719e-4,0.0014389377603082685,0.01952,0.308
LAAL,Diomedeidae (Albatrosses),Laysan Albatross,Phoebastria immutabilis,LAAL,NT,2.4154873686355508e-5,2.8307394118983633e-5,2.9801233905707738e-5,2.421061718843094e-5,1.9649120900994316e-5,2.1582681108236124e-5,5.684286938623698e-5,7.842555049447311e-5,1.261232398004721e-4,2.0454879029494522e-4,0.01054,0.085
TUPU,Alcidae (Auks),Tufted Puffin,Fratercula cirrhata,TUPU,LC,1.7116722749497708e-4,1.8081831519893674e-4,9.428053919027131e-5,9.940798191811375e-5,8.979788429912677e-5,1.676236947086922e-4,3.127861374902316e-4,4.804098321989238e-4,6.354719481014256e-4,0.0011158817803003493,3e-5,0.331
MAMU,Alcidae (Auks),Marbled Murrelet,Brachyramphus marmoratus,MAMU,EN,7.52635066623904e-5,7.910019660982381e-5,5.886553633284593e-5,5.959160172945912e-5,5.979974998912276e-5,8.141700063718513e-5,1.865906445943543e-4,2.6800764523153943e-4,3.3262059132364207e-4,6.006282365551814e-4,3.6e-4,0.555
PECO,Phalacrocoracidae (Cormorants),Pelagic Cormorant,Urile pelagicus,PECO,LC,1.1322690889180312e-4,1.2742192113893952e-4,1.1712281777731666e-4,1.1763516324976017e-4,1.1678303081018812e-4,1.1317971017114233e-4,3.0298740968755466e-4,4.1616711985869697e-4,5.921898418680076e-4,0.0010083569617267045,0.00116,0.159
PIGU,Alcidae (Auks),Pigeon Guillemot,Cepphus columba,PIGU,LC,2.2227138546807235e-4,2.378476123597675e-4,2.0845775502166512e-4,2.0740863283221858e-4,2.014314197864828e-4,1.8804624058346145e-4,4.318143087602978e-4,6.198605493437592e-4,0.0010774168054682063,0.0016972773548119655,2.3e-4,0.583
COLO,Gaviidae (Loons),Common Loon,Gavia immer,COLO,LC,1.6651812903713828e-4,1.633082877090293e-4,3.667463209465341e-4,3.899858597491894e-4,4.657915281526141e-4,2.621447283102812e-4,3.526667463170941e-4,6.148114746273753e-4,0.001552350125594505,0.0021671616002218804,6.7e-4,0.476
DCCO,Phalacrocoracidae (Cormorants),Double-crested Cormorant,Nannopterum auritus,DCCO,LC,1.2787336478268843e-4,1.395782537653553e-4,1.2329467246233655e-4,1.256681054069123e-4,1.2635261618020773e-4,1.0655601744920068e-4,2.891893680397912e-4,3.957453854889919e-4,6.427670125975002e-4,0.0010385123980864923,0.00164,0.154
BRAC,Phalacrocoracidae (Cormorants),Brandt's Cormorant,Urile penicillatus,BRAC,LC,7.163130016167818e-5,8.926090243589494e-5,9.846173477917323e-5,1.0856643317651116e-4,1.1535722474480581e-4,6.536414855785058e-5,1.4931895140528773e-4,2.1468309996313832e-4,4.832775952980634e-4,6.979606952612017e-4,0.00116,0.124
COPE,"Procellariidae (Petrels, Shearwaters)",Cook's Petrel,Pterodroma cookii,COPE,VU,1.545324403058681e-5,1.7173824128648384e-5,2.1054337397545604e-5,1.9980553066403742e-5,1.88721197806515e-5,1.4113958198688267e-5,3.49949302470503e-5,4.9108888445738567e-5,9.253407840383604e-5,1.416429668495746e-4,4.4e-4,0.196
CATE,"Laridae (Gulls, Terns, Skimmers)",Caspian Tern,Hydroprogne caspia,CATE,LC,1.1351770989605755e-4,1.2375566144225898e-4,1.310148901645553e-4,1.3215022391230302e-4,1.330551768127255e-4,1.2249607106885337e-4,2.3528153287999818e-4,3.577776039488516e-4,6.334936622279004e-4,9.912712661767518e-4,0.01513,0.392
GUMU,Alcidae (Auks),Guadalupe Murrelet,Synthliboramphus hypoleucus,SCMU-GUMU-CRMU,EN,1.686547098668084e-4,1.8882628948296956e-4,2.7450458327155585e-4,3.172397384593978e-4,4.0005194012259095e-4,1.6321961364582175e-4,3.435213106118351e-4,5.067409242576568e-4,0.0013492772612033227,0.0018560181854609793,5.8e-4,0.537
SCMU,Alcidae (Auks),Scripps's Murrelet,Synthliboramphus scrippsi,SCMU-GUMU-CRMU,VU,1.686547098668084e-4,1.8882628948296956e-4,2.7450458327155585e-4,3.172397384593978e-4,4.0005194012259095e-4,1.6321961364582175e-4,3.435213106118351e-4,5.067409242576568e-4,0.0013492772612033227,0.0018560181854609793,5.5e-4,0.537
CRMU,Alcidae (Auks),Craveri's murrelet,Synthliboramphus craveri,SCMU-GUMU-CRMU,VU,1.686547098668084e-4,1.8882628948296956e-4,2.7450458327155585e-4,3.172397384593978e-4,4.0005194012259095e-4,1.6321961364582175e-4,3.435213106118351e-4,5.067409242576568e-4,0.0013492772612033227,0.0018560181854609793,7e-4,0.589
MUPE,"Procellariidae (Petrels, Shearwaters)",Murphy's Petrel,Pterodroma ultima,MUPE,LC,3.4541488847237335e-5,3.887643816576169e-5,7.521171338224838e-5,6.463612757286568e-5,4.4302333663171864e-5,2.9504844559071127e-5,7.679537674248527e-5,1.0630022130155641e-4,2.5756810163128494e-4,3.638683229328413e-4,4.9e-4,0.208
ANMU,Alcidae (Auks),Ancient Murrelet,Synthliboramphus antiquus,ANMU,LC,6.381487144634458e-5,7.292199853358706e-5,5.747460378934624e-5,5.6448541454787255e-5,5.432045128565078e-5,9.433069116926294e-5,1.7484990424296269e-4,2.691805954122256e-4,3.0498046650971595e-4,5.741610619219415e-4,0.0011,0.494
RTLO,Gaviidae (Loons),Red-throated Loon,Gavia stellata,RTLO,LC,1.1937673513042171e-4,1.2944871014497565e-4,1.408250426052093e-4,1.406931459704734e-4,1.415515772862036e-4,1.3902613015632413e-4,2.602966387320645e-4,3.9932276888838864e-4,6.718952111372836e-4,0.0010712179800256723,0.00208,0.57
BRAN,"Anatidae (Ducks, Geese, & Waterfowl)",Brant,Branta bernicla,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06795,0.521
HADU,"Anatidae (Ducks, Geese, & Waterfowl)",Harlequin Duck,Histrionicus histrionicus,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465,0.698
STAL,Diomedeidae (Albatrosses),Short-tailed Albatross,Phoebastria albatrus,NA,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01056,0.162
TOSP,Hydrobatidae (Northern Storm-petrels),Townsend's Storm-Petrel,Hydrobates socorroensis,NA,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00515,0.371
FOTE,"Laridae (Gulls, Terns, Skimmers)",Forster's Tern,Sterna forsteri,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01513,0.381
RBGU,"Laridae (Gulls, Terns, Skimmers)",Ring-billed Gull,Larus delawarensis,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04989,0.134
SBIG,"Laridae (Gulls, Terns, Skimmers)",Short-billed Gull,Larus brachyrhynchus,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04989,0.183
BLSK,"Laridae (Gulls, Terns, Skimmers)",Black Skimmer,Rynchops niger,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01513,0.589
LETE,"Laridae (Gulls, Terns, Skimmers)",Least Tern,Sternula antillarum,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01171,0.381
RBTR,Phaethontidae (Tropicbirds),Red-billed Tropicbird,Phaethon aethereus,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17148,0.184
EAGR,Podicipedidae (Grebes),Eared Grebe,Podiceps nigricollis,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00169,0.338
RNGR,Podicipedidae (Grebes),Red-necked Grebe,Podiceps grisegena,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156,0.338
MOPE,"Procellariidae (Petrels, Shearwaters)",Mottled Petrel,Pterodroma inexpectata,NA,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-4,0.299
HAPE,"Procellariidae (Petrels, Shearwaters)",Hawaiian Petrel,Pterodroma sandwichensis,NA,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4e-4,0.26
MABO,"Sulidae (Gannets, Boobies)",Masked Booby,Sula dactylatra,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00549,0.75
NABO,"Sulidae (Gannets, Boobies)",Nazca Booby,Sula granti,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75
BFBO,"Sulidae (Gannets, Boobies)",Blue-footed Booby,Sula nebouxii,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75
BRBO,"Sulidae (Gannets, Boobies)",Brown Booby,Sula leucogaster,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00608,0.75
RFBO,"Sulidae (Gannets, Boobies)",Red-footed Booby,Sula sula,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01109,0.678
